WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d557gtjht8fs73a0joe0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:09:42.616Z,2025-12-23T11:10:26.557Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557ghvp3tbc73ao2vm0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:08:55.089Z,2025-12-23T11:09:41.540Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557g5psmlfc739gfmcg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:08:07.123Z,2025-12-23T11:08:53.698Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557fh0nsj9s73b2hk50,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:06:44.641Z,2025-12-23T11:07:38.427Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557eubht8fs73a0jmjg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:05:30.026Z,2025-12-23T11:06:16.224Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557eivp3tbc73ao2ts0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:04:43.725Z,2025-12-23T11:05:29.124Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557e70nsj9s73b2hitg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:03:56.830Z,2025-12-23T11:04:42.307Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557dk0nsj9s73b2hia0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:02:40.834Z,2025-12-23T11:03:27.497Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557d80nsj9s73b2hhv0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:01:52.758Z,2025-12-23T11:02:38.810Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557ckvp3tbc73ao2s3g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:00:35.835Z,2025-12-23T11:01:21.965Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
